,Nome dependencia Administrativa,Codigo Rede,Diretoria de ensino,Categoria,Tipo Escola,CodigoEscola,Codigo MEC,Nome Escola,Codigo Municipio,Municipio,Bairro,Codigo Distrito,Distrito,CEP,Complemento,Endereco,Numero,Ddd,Fone1,Fone2,Email,Zona
16,PRIVADA,20901,ADAMANTINA,1,1,146936,35146936,CARLA CRISTINA MOREIRA ESCOLA DE EDUCACAO ESPECIAL,494,OSVALDO CRUZ,JARDIM JULIA,1,OSVALDO CRUZ,17700000,RUA,RUA YUTAKA ABE,20A,18,35281613,35284778,APAEOC@HOTMAIL.COM,1
17,PRIVADA,20901,ADAMANTINA,1,40,297800,35297800,CASA DA CRIANCA ASSOCIACAO BENEFICENTE DE PACAEMBU,497,PACAEMBU,VLA PEREZ,1,PACAEMBU,17860000,AVENIDA,AVENIDA CORIPHEU DE AZEVEDO MARQUES,1379,18,38621320,,,1
18,PRIVADA,20901,ADAMANTINA,1,0,186302,35186302,CENTRO EDUCACIONAL DAVI,292,DRACENA,CENTRO,1,DRACENA,17900000,RUA,RUA TIRADENTES,434,18,38221427,,ALINEKINOSHITA2009@HOTMAIL.COM,1
19,PRIVADA,20901,ADAMANTINA,1,0,584514,35584514,CENTRO EDUCACIONAL ESPACO SOCIAL GRANOL ESC DE EDUC INFANTIL,494,OSVALDO CRUZ,DISTRITO INDUSTRIAL,1,OSVALDO CRUZ,17700000,RUA,ESTRADA ROBERTO ANTONIO ROMANINI,SN,18,35299200,35299201,,1
20,PRIVADA,20901,ADAMANTINA,1,0,152493,35152493,CETP CENTRO EDUCACIONAL DE TUPI PAULISTA.,698,TUPI PAULISTA,CENTRO,1,TUPI PAULISTA,17930000,RUA,AVENIDA SETE DE SETEMBRO,1030,18,38511455,,OBJETIVO@ABCREDE.COM.BR,1
21,PRIVADA,20901,ADAMANTINA,1,40,809469,35809469,CLELIA MERLONI MADRE COLEGIO,150,ADAMANTINA,CENTRO,1,ADAMANTINA,17800000,RUA,ALAMEDA  NAVARRO DE ANDRADE,60,18,35023220,,DIRETORICMC@GMAIL.COM,1
22,PRIVADA,20901,ADAMANTINA,1,0,583704,35583704,COLEGIO SAO PAULO,292,DRACENA,DISTRITO INDUSTRIAL,1,DRACENA,17900000,RUA,AVENIDA ORLANDO FRUCHI,351,18,38226515,,THAYS@COLEGIOSAOPAULO.COM.BR,1
23,PRIVADA,20901,ADAMANTINA,1,0,801707,35801707,COOPERATIVO COLEGIO DE OSVALDO CRUZ,494,OSVALDO CRUZ,CENTRO,1,OSVALDO CRUZ,17700000,RUA,ARMANDO SALLES,348,,,,COLEGIO.APOLO@HOTMAIL.COM,1
24,PRIVADA,20901,ADAMANTINA,1,0,268410,35268410,CRISTA DE ENSINO ESCOLA,150,ADAMANTINA,PQ ITAPUA,1,ADAMANTINA,17800000,RUA,PASTOR PEDRO PEREIRA DE ARAUJO,30,18,35221570,,,1
25,PRIVADA,20901,ADAMANTINA,1,0,185954,35185954,DIMENSAO ENSINO FUNDAMENTAL E MEDIO COLEGIO,422,LUCELIA,CENTRO,1,LUCELIA,17780000,RUA,RUA DOM BOSCO,66,18,35512751,35513827,DIMENSAOPOSITIVO@HOTMAIL.COM,1
26,PRIVADA,20901,ADAMANTINA,1,0,185218,35185218,EEIF CAÇA TALENTOS,502,PANORAMA,CENTRO,1,PANORAMA,17980000,RUA,RUA EMILIO CONDE,1004,18,38713091,,COLEGIOOBJETIVOPAN@ITELEFONICA.COM.BR,1
27,PRIVADA,20901,ADAMANTINA,1,1,145932,35145932,ESCOLA DE EDUCACAO ESPECIAL VIDA,150,ADAMANTINA,VILA  JOAQUINA,1,ADAMANTINA,17800000,RUA,RUA TSUNEKISHI SAKAI,136,18,35213340,,APAEADT@TERRA.COM.BR,1
28,PRIVADA,20901,ADAMANTINA,1,0,585713,35585713,ESCOLA DE EDUCACAO INFANTIL PINTANDO O SETE,408,JUNQUEIROPOLIS,CENTRO,1,JUNQUEIROPOLIS,17890000,PRACA,RUA VICTOR JUNQUEIRA,1337,18,38421083,,,1
29,PRIVADA,20901,ADAMANTINA,1,0,83689,35083689,FRANCISCO GRAZIANO FILHO CENTRO DE EDUCACAO PROFISSIONAL,292,DRACENA,CENTRO,1,DRACENA,17900000,RUA,RUA  BRASIL,1478,18,38219000,,CEP@FUNDEC.COM.BR,1
30,PRIVADA,20901,ADAMANTINA,1,0,264261,35264261,GUIOMAR NOVAES INSTITUICAO ARTISTICA,292,DRACENA,CENTRO,1,DRACENA,17900000,RUA,RUA QUINZE DE NOVEMBRO,501,18,38211543,,HELLEN@FUNDEC.COM.BR,1
31,PRIVADA,20901,ADAMANTINA,1,0,117055,35117055,GUMERCINDO CORREA DE ALMEIDA MORAES PROF ESCOLA,292,DRACENA,METROPOLE,1,DRACENA,17900000,RUA,AVENIDA ALCIDES CHACON COUTO,395,18,38219000,,SECRETARIA@FUNDEC.COM.BR,1
32,PRIVADA,20901,ADAMANTINA,1,0,446336,35446336,HEITOR VILLA LOBOS CONSERVATORIO MUSICAL,292,DRACENA,CENTRO,1,DRACENA,17900000,RUA,AVENIDA DOS EXPEDICIONARIOS,1790,18,38226821,,,1
33,PRIVADA,20901,ADAMANTINA,1,0,102696,35102696,HIPERACAO COLEGIO,494,OSVALDO CRUZ,CENTRO,1,OSVALDO CRUZ,17700000,FUNDOS,AVENIDA  BRASIL,162,18,35286933,,COLEGIOHIPERACAO.OC@GMAIL.COM,1
34,PRIVADA,20901,ADAMANTINA,1,40,167009,35167009,LAR ESPIRITA ASSISTENCIAL IRMA SCHEILA,698,TUPI PAULISTA,CENTRO,1,TUPI PAULISTA,17930000,RUA,AVENIDA  JOAO MOELLERS,367,18,38512304,,LEAIS@ABCREDE.COM.BR,1
35,PRIVADA,20901,ADAMANTINA,1,0,152473,35152473,LILIANA GONZAGA PROFA ESCOLA DE EF E EM,292,DRACENA,JARDIM AMERICA,1,DRACENA,17900000,ESQUINA COM A RUA ARISTIDES ZANONI,ROTARY,220,18,38212585,38223010,SECRETARIA@OBJETIVODRACENA.COM.BR,1
36,PRIVADA,20901,ADAMANTINA,1,0,264970,35264970,LUCELIA ESCOLA TECNICA DE,422,LUCELIA,CENTRO,1,LUCELIA,17780000,RUA,AVENIDA  INTERNACIONAL,3000,18,35511849,35512044,CEALPA@TERRA.COM.BR,1
37,PRIVADA,20901,ADAMANTINA,1,0,159694,35159694,PACAEMBU COLEGIO ENSINO FUNDAMENTAL E MEDIO,497,PACAEMBU,JARDIM MARAJA,1,PACAEMBU,17860000,AVENIDA,RUA PARA,234,18,38623222,,OBJETIVOPACAEMBU@HOTMAIL.COM,1
38,PRIVADA,20901,ADAMANTINA,1,0,481981,35481981,PANORAMA CENTRO EDUCACIONAL,502,PANORAMA,CENTRO,1,PANORAMA,17980000,RUA,RUA AURORA FRANCISCO DE CAMARGO,700,18,38711593,,,1
39,PRIVADA,20901,ADAMANTINA,1,0,468022,35468022,PEIXINHO FELIZ PRE ESCOLA,502,PANORAMA,CENTRO,1,PANORAMA,17980000,RUA,RUA ALFREDO POLLETTI,931,18,38714379,,FERNANDAMOLONGONCALVES@HOTMAIL.COM,1
40,PRIVADA,20901,ADAMANTINA,1,0,186314,35186314,PINGUINHO DE GENTE PLENS ESCOLA EDUCACAO INFANTIL,292,DRACENA,CENTRO,1,DRACENA,17900000,RUA,RUA TUPA,830,18,38213357,,EEIPINGUINHODEGENTE@HOTMAIL.COM,1
41,PRIVADA,20901,ADAMANTINA,1,0,141987,35141987,POSICRUZ COLEGIO,494,OSVALDO CRUZ,CHACARA MAX WIRTH,1,OSVALDO CRUZ,17700000,RUA,RUA ERNESTO MOLIET,60,18,35280366,35281253,POSICRUZ@GMAIL.COM,1
42,PRIVADA,20901,ADAMANTINA,1,1,190913,35190913,ROSA RIBOLI ESCOLA EDUCACAO ESPECIAL ,502,PANORAMA,CENTRO,1,PANORAMA,17980000,RUA,RUA NICOLA ZWING,948,18,38713600,,PANORAMA@APAESAOPAULO.COM.BR,1
43,PRIVADA,20901,ADAMANTINA,1,1,145956,35145956,ROTARY CLUBE DE TUPI PAULISTA APAE,698,TUPI PAULISTA,CENTRO,1,TUPI PAULISTA,17930000,RUA,AVENIDA SENADOR PIZZA,141,18,38511934,38514262,APAETUPI@ABCREDE.COM.BR,1
44,PRIVADA,20901,ADAMANTINA,1,14,117067,35117067,SESI 283 CENTRO EDUCACIONAL,494,OSVALDO CRUZ,CENTRO,1,OSVALDO CRUZ,17700000,RUA,AVENIDA PREF VALDEMAR DE OLIVEIRA LIMA,1000,18,35282632,,CE283@SESISP.ORG.BR,1
45,PRIVADA,20901,ADAMANTINA,1,0,392169,35392169,SITIO DO PICA PAU AMARELO CENTRO EDUCACIONAL,494,OSVALDO CRUZ,CENTRO,1,OSVALDO CRUZ,17700000,RUA,RUA RICARDO PONCIANO,185,18,35284050,,,1
46,PRIVADA,20901,ADAMANTINA,1,40,167010,35167010,SOCIEDADE CASA DA CRIANCA DE TUPI PAULISTA,698,TUPI PAULISTA,CENTRO,1,TUPI PAULISTA,17930000,RUA,RUA ARCEBISPO LEMIEUSC,812,18,38511711,,CRECHECANTINHO@HOTMAIL.COM,1
47,PRIVADA,20901,ADAMANTINA,1,0,258040,35258040,UNIDADE MODELO DE ENSINO,292,DRACENA,METROPOLE,1,DRACENA,17900000,RUA,AVENIDA ALCIDES CHACON COUTO,395,18,38219023,,CEPUME@FUNDEC.EDU.BR,1
48,PRIVADA,20901,ADAMANTINA,1,0,264271,35264271,VILLA LOBOS INSTITUTO DE ENSINO ARTISTICO,150,ADAMANTINA,CENTRO,1,ADAMANTINA,17800000,RUA,ALAMEDA SANTA CRUZ,505,18,35211743,,RITARAMENZONI@HOTMAIL.COM,1
49,PRIVADA,20401,AMERICANA,1,0,560236,35560236, ESCOLA DE EDUCACAO INFANTIL MORIA ,606,SANTA BARBARA D'OESTE,JARDIM SAO FERNANDO,1,SANTA BARBARA D OESTE,13454233,,ALFREDO CONTATTO,814,19,30296973,,MORIAEDUCACAOINFANTIL@HOTMAIL.COM,1
50,PRIVADA,20401,AMERICANA,1,0,135926,35135926,A SEMENTINHA ESCOLA DE EDUCACAO INFANTIL,606,SANTA BARBARA D'OESTE,VILA BOLDRIN,1,SANTA BARBARA D OESTE,13450069,RUA,RUA PROFESSORA TEREZINHA CAMPOS,230,19,34631202,,CEIASEMENTINHA@YAHOO.COM,1
51,PRIVADA,20401,AMERICANA,1,0,431151,35431151,ACONCHEGO ESCOLA DE EDUCACAO INFANTIL,165,AMERICANA,PARQUE NOVO MUNDO,1,AMERICANA,13467560,RUA,AVARE,236,19,30127838,,ESCOLACONCHEGO@HOTMAIL.COM,1
52,PRIVADA,20401,AMERICANA,1,0,495293,35495293,ACONCHEGO II,165,AMERICANA,CARIOBINHA,1,AMERICANA,13472390,RUA,RUA SAO BENEDITO,236,19,34781250,,ACONCHEGO2@ESCOLACONCHEGO.COM.BR,1
53,PRIVADA,20401,AMERICANA,1,0,166686,35166686,ADVENTISTA DE AMERICANA ESCOLA,165,AMERICANA,CAMPO LIMPO,1,AMERICANA,13477020,RUA,ITALO BOSCHIERO ,437,19,34618320,34788400,AMERICANA.DIR@UCB.ORG.BR,1
54,PRIVADA,20401,AMERICANA,1,0,174269,35174269,ALADDIN ESCOLA DE EDUCACAO INFANTIL,165,AMERICANA,JD S VITO,1,AMERICANA,13473200,RUA,R JOAO BERNESTEIN,275,19,34681429,34782802,ESCOLA.ALADDIN@BOL.COM.BR,1
55,PRIVADA,20401,AMERICANA,1,0,159797,35159797,ALGODAO DOCE ESCOLA DE EDUCACAO INFANTIL,165,AMERICANA,CARIOBINHA,1,AMERICANA,13472370,RUA,SAO BENTO,921,19,34685725,,ESCOLALAGODAODOCE@YAHOO.COM.BR,1
56,PRIVADA,20401,AMERICANA,1,0,805622,35805622,ALIANCA ESCOLA EDUCACAO INFANTIL,165,AMERICANA,FREZARIN,1,AMERICANA,13465772,RUA,RUA HONDURAS,426,19,34626570,,SECRETARIA@ESCOLAALIANCA.COM.BR,1
57,PRIVADA,20401,AMERICANA,1,13,430316,35430316,ALVARES ROMI ESCOLA SENAI,606,SANTA BARBARA D'OESTE,CIDADE INDUSTRIAL,1,SANTA BARBARA D OESTE,13456166,RUA,SERGIO LEOPOLDINO ALVES VEREADOR,500,19,34552580,,SECRETARIA565@SP.SENAI.BR,1
58,PRIVADA,20401,AMERICANA,1,0,174294,35174294,AMERICANA COLEGIO,165,AMERICANA,CONSERVA,1,AMERICANA,13466030,RUA,OSWALDO DE MORAES CABO,152,19,34063713,36043713,COLEGIO.AMERICANA@YAHOO.COM.BR,1
59,PRIVADA,20401,AMERICANA,1,0,125659,35125659,AMERICANA INSTITUTO EDUCACIONAL DE,165,AMERICANA,JARDIM NOSSA SENHORA DE FATIMA,1,AMERICANA,13478580,AVENIDA,AVENIDA PAULISTA,1258,19,34681616,34789222,CONTATO@UMAESCOLACOMPLETA.COM.BR,1
60,PRIVADA,20401,AMERICANA,1,0,395304,35395304,ANA NERY DE AMERICANA INSTITUTO TECNICO,165,AMERICANA,VILA NOSSA SENHORA DE FATIMA,1,AMERICANA,13478580,AVENIDA,PAULISTA ,49,19,34055933,34614446,CCMDEAMERICANA@YAHOO.COM.BR,1
61,PRIVADA,20401,AMERICANA,1,0,144502,35144502,ANGLO AMERICANA COLEGIO,165,AMERICANA,VILA CECCHINO,1,AMERICANA,13465773,RUA,RUA CUBA,316,19,34065234,34611652,SECRETARIA@COLEGIOCEZANNE.COM.BR,1
62,PRIVADA,20401,AMERICANA,1,40,132007,35132007,ANTARES COLEGIO,165,AMERICANA,JARDIM  IPIRANGA,1,AMERICANA,13468580,RUA,RUA  ICARAI,100,19,34615647,36453909,SECRETARIA@ANTARESAMERICANA.COM.BR,1
63,PRIVADA,20401,AMERICANA,1,1,146304,35146304,APAE DE AMERICANA ESCOLA DE EDUCACAO ESPECIAL DA,165,AMERICANA,PARQUE  RESIDENCIAL NARDINI,1,AMERICANA,13468395,RUA,RUA  ABRAHIM ABRAHAM ,97,19,21089393,,DIRESCOLA@APAEAMERICANA.COM.BR,1
64,PRIVADA,20401,AMERICANA,1,1,146158,35146158,APAE DE NOVA ODESSA,482,NOVA ODESSA,PQ.RES KLAVIN,1,NOVA ODESSA,13460000,RUA,RUA JOSE DE CAMARGO,26,19,34661324,34661391,APAENOVAODESSA@TERRA.COM.BR,1
65,PRIVADA,20401,AMERICANA,1,1,145294,35145294,APAE DE SANTA BARBARA DOESTE,606,SANTA BARBARA D'OESTE,SANTA TEREZINHA,1,SANTA BARBARA D OESTE,13450235,AVENIDA,RUA  TIRADENTES,1580,19,34991811,,APAESBOSP@GMAIL.COM,1
66,PRIVADA,20401,AMERICANA,1,0,466612,35466612,APRISCO KIDS ESCOLA DE EDUCACAO INFANTIL,606,SANTA BARBARA D'OESTE,VILA FERRAREZI,1,SANTA BARBARA D OESTE,13455401,AVENIDA,ALFREDO CONTATTO ,804,19,34730388,,,1
67,PRIVADA,20401,AMERICANA,1,0,572524,35572524,AQUARELA AMERICANA COLEGIO,165,AMERICANA,VILA SANTA CATARINA,1,AMERICANA,13466280,RUA,ABOLICAO ,660,19,34612512,,LILIANAPALVES@YAHOO.COM.BR,1
68,PRIVADA,20401,AMERICANA,1,48,174324,35174324,ARCA DE NOE ESCOLA EDUCACAO INFANTIL,165,AMERICANA,A ZANAGA II,1,AMERICANA,13474493,RUA,RUA XICO SANTEIRO,148,19,34690313,34696166,ARCADENOEOFICIAL74@GMAIL.COM,1
69,PRIVADA,20401,AMERICANA,1,0,495402,35495402,ARCA DE NOE II ESCOLA DE EDUCACAO INFANTIL,165,AMERICANA,SANTA CRUZ,1,AMERICANA,13477410,AVENIDA,GERALDO GOBBO ,223,19,36451508,,ARCADENOEOFICIAL74@GMAIL.COM,1
70,PRIVADA,20401,AMERICANA,1,0,265391,35265391,ART E DESIGN ESCOLA,165,AMERICANA,JARDIM GLORIA,1,AMERICANA,13468240,RUA,CANELEIRAS ,456,19,34624448,36042228,CONTATO@ESCOLAARTEDESIGN.COM.BR,1
71,PRIVADA,20401,AMERICANA,1,40,187501,35187501,ASSOCIACAO DE BENEFICIENCIA E EDUCACAO,606,SANTA BARBARA D'OESTE,VILA OLIVEIRA,1,SANTA BARBARA D OESTE,13453023,AVENIDA,AVENIDA DOS  BANDEIRANTES,705,19,34991910,34991919,ABE@ABECASADACRIANCA.COM.BR,1
72,PRIVADA,20401,AMERICANA,1,0,497332,35497332,BI-BI LINGUE,165,AMERICANA,NOSSA SENHORA DE FATIMA,1,AMERICANA,13478320,RUA,ACRE ,71,19,36017028,,ESCOLA@BIBILINGUE.COM.BR,1
73,PRIVADA,20401,AMERICANA,1,0,153242,35153242,BIOCENTRICO COLEGIO,482,NOVA ODESSA,CENTRO,1,NOVA ODESSA,13460000,RUA,RUA ANCHIETA,155,19,34663282,34663289,BIOCENTRICO@BIOCENTRICO.COM.BR,1
74,PRIVADA,20401,AMERICANA,1,0,287222,35287222,BRASILEIRO DE EDUCACAO COLEGIO,165,AMERICANA,VILA NOSSA SENHORA DE FATIMA,1,AMERICANA,13478580,AVENIDA,PAULISTA ,586,19,34621224,36016859,SECRETARIA@UNIVERSITARIOAMERICANA.COM.BR,1
75,PRIVADA,20401,AMERICANA,1,0,563365,35563365,CANTINHO DO CEU ESCOLA DE EDUCACAO INFANTIL,165,AMERICANA,JARDIM MARCIA CRISTINA,1,AMERICANA,13466680,RUA,SANDALOS ,191,19,36456449,,CONTATO@ESCOLACANTINHODOCEU.COM.BR,1
76,PRIVADA,20401,AMERICANA,1,48,442999,35442999,CARLOS BENITO FRANCHI ASSOCIACAO,165,AMERICANA,JARDIM IPIRANGA,1,AMERICANA,13468490,RUA,IBIRAPUERA ,9,19,30131286,34624242,SECRETARIA@TIOFRANCHI.COM.BR,1
77,PRIVADA,20401,AMERICANA,1,0,302193,35302193,CASINHA ENCANTADA ESCOLA DE EDUCACAO INFANTIL,606,SANTA BARBARA D'OESTE,FERRAREZI,1,SANTA BARBARA D OESTE,13455082,AVENIDA,AVENIDA DA AMIZADE,1807,19,34586747,,CASINHAENCANTADA@YAHOO.COM.BR,1
78,PRIVADA,20401,AMERICANA,1,0,169705,35169705,CASTELINHO CENTRO EDUCACIONAL,482,NOVA ODESSA,JARDIM  SANTA ROSA,1,NOVA ODESSA,13460000,RUA,RUA RIO BRANCO,1460,19,34662077,34663434,RITASTARNINO@CASTELINHO.NET.BR,1
79,PRIVADA,20401,AMERICANA,1,0,164811,35164811,CATATAU CENTRO DE DESENVOLVIMENTO INFANTIL,165,AMERICANA,VILA FREZZARIN,1,AMERICANA,13465780,RUA,MEXICO ,201,19,34621703,,EEICATATAU@HOTMAIL.COM,1
80,PRIVADA,20401,AMERICANA,1,0,4383,35004383,CENTRO INFANTO JUVENIL DE ORIENTAÇÃO PROGRESSIVA - CIJOP,165,AMERICANA,SANTO ANTONIO,1,AMERICANA,13465760,,PERU,412,19,34618075,,CLUBEINFANTOJUVENIL@YAHOO.COM.BR,1
81,PRIVADA,20401,AMERICANA,1,0,4385,35004385,COLÉGIO AMERICANA KIDS,165,AMERICANA,VILA SANTA CATARINA,1,AMERICANA,13466280,,ABOLICAO,319,19,34063713,,COLEGIO.AMERICANA@YAHOO.COM.BR,1
82,PRIVADA,20401,AMERICANA,1,0,159815,35159815,COLÉGIO ESTAÇÃO VIVER,165,AMERICANA,PARQUE RESIDENCIAL NARDINI,1,AMERICANA,13468280,RUA,RUA SAO SALVADOR,1504,19,34625200,34629892,ESTACAOVIVER@GMAIL.COM,1
83,PRIVADA,20401,AMERICANA,1,0,571404,35571404,COLORE EDUCACAO INFANTIL,606,SANTA BARBARA D'OESTE,JARDIM PEROLA,1,SANTA BARBARA D OESTE,13454184,RUA,FEIJAO ,70,19,33047050,,COLORE.EDUCACAOINFANTIL@GMAIL.COM,1
84,PRIVADA,20401,AMERICANA,1,40,112094,35112094,DOM BOSCO COLEGIO SALESIANO,165,AMERICANA,VL S CATARINA,1,AMERICANA,13466327,RUA,DOM BOSCO,100,19,34719700,34719717,SECRETARIA@DOMBOSCO.BR,1
85,PRIVADA,20401,AMERICANA,1,0,112124,35112124,DOM PEDRO II COLEGIO,165,AMERICANA,CENTRO,1,AMERICANA,13465300,RUA,RUA HEITOR PENTEADO,100,19,34612128,,AIRTONJOAO@UOL.COM.BR,1
86,PRIVADA,20401,AMERICANA,1,0,367199,35367199,DUMONTEC EDUCACIONAL,606,SANTA BARBARA D'OESTE,VILA BOLDRIN,1,SANTA BARBARA D OESTE,13450071,RUA,JOAO BATISTA FURLAN ,333,19,30266800,34541583,COORDENACAO.STABARBARA@ESATECEDUCACIONAL.COM.BR,1
87,PRIVADA,20401,AMERICANA,1,0,4143,35004143,ESCOLA CATÓLICA QUERIGMA – UNIDADE SANTA BÁRBARA D’OESTE,606,SANTA BARBARA D'OESTE,VILA TEREZA,1,SANTA BARBARA D OESTE,13450069,,PROFESSORA TEREZINHA DE ARRUDA CAMPOS,175,19,34631374,,SECRETARIAQUERIGMA2@GMAIL.COM,1
88,PRIVADA,20401,AMERICANA,1,0,587643,35587643,ESCOLA DE EDUCACAO INFANTIL AMORE MIO,165,AMERICANA,VILA BELVEDERE,1,AMERICANA,13473153,RUA,RUA SAO JUDAS TADEU,77,19,34782599,,SILVIA.PVSP@HOTMAIL.COM,1
89,PRIVADA,20401,AMERICANA,1,0,4345,35004345,ESCOLA DE EDUCAÇÃO INFANTIL ARCA DE NOÉ,606,SANTA BARBARA D'OESTE,JARDIM PEROLA,1,SANTA BARBARA D OESTE,13454204,,DO  TRIGO,683,19,36267100,,ARCADENOEKIDS2@HOTMAIL.COM,1
5,ESTADUAL - OUTROS,20901,ADAMANTINA,1,11,915865,35915865,AMIM JUNDI ETEC,494,OSVALDO CRUZ,CENTRO,1,OSVALDO CRUZ,17700000,RUA,RUA JAPAO,724,18,35283982,35284760,E027ACAD@CPS.SP.GOV.BR,1
6,ESTADUAL - OUTROS,20901,ADAMANTINA,1,11,31215,35031215,CARMELINA BARBOSA PROFA ETEC,292,DRACENA,BAIRRO DAS ANTAS,1,DRACENA,17900000,RUA,RODOVIA COMANDANTE JOAO RIBEIRO DE BARROS,653,18,38215063,38224448,E052ACAD@CPS.SP.GOV.BR,2
7,ESTADUAL - OUTROS,20901,ADAMANTINA,1,11,31082,35031082,EUDECIO LUIZ VICENTE PROF ETEC,150,ADAMANTINA,VILA JAMIL DE LIMA,1,ADAMANTINA,17800000,RUA,RUA LIBERO BADARO,600,18,35212493,35212565,E055DIR@CPS.SP.GOV.BR,1
8,ESTADUAL - OUTROS,20901,ADAMANTINA,1,11,31100,35031100,HERVAL BELLUSCI ENGENHEIRO ETEC,150,ADAMANTINA,BOA VISTA,1,ADAMANTINA,17800000,RUA,ESTRADA SEIS,SN,18,35212494,,E063ACAD@CPS.SP.GOV.BR,2
9,ESTADUAL - OUTROS,20401,AMERICANA,1,11,925950,35925950,JOSE DAGNONI DR PROF ETEC,606,SANTA BARBARA D'OESTE,CIDADE NOVA,1,SANTA BARBARA D OESTE,13454398,RUA,RUA ANTONIO PEDROSO,1731,19,34574624,34574625,DIR.JOSEDAGNONI@CENTROPAULASOUZA.SP.GOV.BR,1
10,ESTADUAL - OUTROS,20401,AMERICANA,1,11,440747,35440747,NOVA ODESSA ETEC DE,482,NOVA ODESSA,PARQUE HARMONIA,1,NOVA ODESSA,13460000,RUA,RUA TEOFILO SNIKER,38,19,34765074,,E.NODESSA.ACAD@CENTROPAULASOUZA.SP.GOV.BR,1
11,ESTADUAL - OUTROS,20401,AMERICANA,1,11,45962,35045962,POLIVALENTE DE AMERICANA ETEC,165,AMERICANA,JARDIM NOSSA SENHORA DE  FATIMA,1,AMERICANA,13478540,AVENIDA,AVENIDA NOSSA SENHORA DE FATIMA,567,19,34684071,,E006ACAD@CPS.SP.GOV.BR,1
12,ESTADUAL - OUTROS,20801,ANDRADINA,1,2,121836,35121836,CATATAU CCI,750,ILHA SOLTEIRA,ZONA SUL,1,ILHA SOLTEIRA,15385000,AVENIDA,RUA CABO FRIO ,516,18,37431196,,CATATAU@ADM.FEIS.UNESP.BR,1
